"","title","writer","written","rating","comment"
"154","Cannot Miss This","Maddy","Apr 2020",5,"i love museums but this one really outdid itself not only is the museum itself beautiful to walk around the exhibits are beyond spectacular   i was first drawn to visit to see the sister exhibit of the cairo museum i had seen  year earlier not only can you see amazing…"
"155","Amazing museum!!!","Forex T","Apr 2020",5,"i was there with my sister what is an amazing museum free ticket and we can doninate located in great russell street will come back next time"
"156","Great way to spend a rainy day, or sunny for that matter","EricaK2013","Apr 2020",4,"amazing museum sop much to see you can easily spend the whole day just wandering around and having a snack in cafe or restaurant inside the museum also the building itselself is beautiful easy to reach as well"
"157","Great Art and Museum","kevinha2190","Apr 2020",5,"located in great russell street this is a nice museum with dedicated to human history art and culture free ticket and dominating is valuable"
"158","Amazing!","ANNAHAMILTON912","Apr 2020",5,"amazing place to visit if you are in london dont skip it as you will regret it beautiful place i will come again"
"159","An Ark of Noah","Guidzi","Apr 2020",5,"this place is amazing it has things you wouldnt believe about ancient times about lets sayany religion like relics drawings statues ornements  thats why i compare this museum to noahs ark  we were there in july  and when we look back at the pictures we took…"
"160","Great museum!","Lildreamer L","Apr 2020",4,"this museum was the largest i have ever been to i got lost a couple times p there were also a lot of exhibits to check out it was great to check out all the exhibits and learn a bit about londons history  there is a fee for audio guides and for the featured exhibit   when…"
"161","Stupendous.","Rami A","Apr 2020",5,"you can find here a huge collection of the ancient world assyrian egyptian mesupotemian and much more stupendous"
"162","So much to see","Extraordinary726552","Apr 2020",5,"an amazing treasure of a place hours of interesting displays visiting time and again always something new"
"163","My last Visit Was 50 Years Ago","Mike O","Apr 2020",5,"due to the world wide shut in my visit to this wonderful museum was by the internet and much different to my frequent trips as a boy to this wonderful time machine that took me around the world showing me great works of art and beauty and great civilizations that came and went…"
"164","One of the great museums","Blabbott","Apr 2020",5,"there may not be a better deal in london the museum is packed with great exhibits and it is free i especially liked the assyria collection but the egyptian exhibit is also very good"
"165","Best museum ever","dan h","Apr 2020",4,"one of the best museums that i’ve been to and everything was real and nothing fake but on the minus side some exhibitions cost money to enter but overall it was excellent"
"166","#culture","Tzatsy","Apr 2020",5,"one of my favourite london museums if not my favourite   you can spend all day in here it’s closeby to the soho and oxford street and easy to plan your day around   i would highly recommend it for people who like to take their time read about the artefacts and history…"
"167","Incredible","J B","Apr 2020",5,"you could spend a lifetime here and never fully appreciate all the treasures  plan on at least half a day minimum to see the highlights  if you are traveling with children you can check your coatsbags free of charge in the family cloakroom  we also used the objectbased…"
