"title","comment","trip","writer","written","rating"
"Extensive Collection Great Museum! ","It was such a great experience to visit this museum with my son early January 2020 and honestly we couldn’t see everything on display there as they’ve such an extensive collection!   It was tiring after our visit and mind boggling over the countless section of different nation’s…","January 2020","Jaycee Sarah Koh","Jun 2020",5
"An amazing experience.","Saw some very interesting/famous exhibits. Would recommend going. It could have more places to rest- you will find yourself exhausted at the end of the day.","November 2019","Sim121","May 2020",5
"A great place to visit","An excellent day out with the family. Very educational in a clean environment. Very helpful staff. Highly recommended.","September 2019","Imran Qureshi","May 2020",5
"Exceptionally awesome collections","I keep coming back. There are always new collections to view, and more to learn of the existing artifacts. My favourites on this visit were the Asian and Egyptian exhibits.","November 2019","KodoDrummer","May 2020",5
"London staple for a rainy afternoon ","I enjoy coming back to the British Museum every once in a while when in London. There is so much to see and always something new to explore. One of my favourite exhibitions is the Egyptian exhibition and it is always very interesting so see. For anyone who is interested in…","February 2020","AnnMayTravelling","May 2020",4
"The Most Amazing Thing About The British Museum","Nothing in it is British. Virtually every artefact was stolen at some point in history from another country somewhere around the globe. Egypt, Greece, China, Iran, Iraq, India, Japan, Malawi, Zambia. So to all those bigots and racists that say “we should send all the foreigners…","July 2019","Julian D","May 2020",3
"<U+062A><U+0623><U+0631><U+064A><U+062E>","<U+0645><U+062A><U+062D><U+0641> <U+064A><U+0636><U+0645> <U+0639><U+062F><U+062F><U+0627> <U+0643><U+0628><U+064A><U+0631><U+0627><U+064B> <U+0645><U+0646> <U+0627><U+0644><U+062D><U+0636><U+0627><U+0631><U+0627><U+062A> <U+0648><U+0627><U+0644><U+0627><U+0642><U+0633><U+0627><U+0645> <U+0627><U+0644><U+062A><U+064A> <U+062A><U+0646><U+0642><U+0644><U+0643> <U+0644><U+0644><U+0645><U+0627><U+0636><U+064A> <U+0641><U+064A> <U+062C><U+0645><U+064A><U+0639> <U+0627><U+0646><U+062D><U+0627><U+0621> <U+0627><U+0644><U+0639><U+0627><U+0644><U+0645> <U+0627><U+0644><U+062F><U+062E><U+0648><U+0644> <U+0645><U+062C><U+0627><U+0646><U+064A> <U+0648><U+064A><U+0648><U+062C><U+062F> <U+0628><U+062F><U+0627><U+062E><U+0644><U+0647> <U+0639><U+062F><U+062F> <U+0645><U+0646> <U+0627><U+0644><U+0645><U+0642><U+0627><U+0647><U+064A> <U+0648><U+0627><U+0644><U+062C><U+0644><U+0633><U+0627><U+062A> <U+0648><U+064A><U+062D><U+062A><U+0627><U+062C> <U+0644><U+064A><U+0648><U+0645> <U+0643><U+0627><U+0645><U+0644> <U+0644><U+0643><U+064A> <U+062A><U+062A><U+062C><U+0648><U+0644> <U+0641><U+064A> <U+0643><U+0627><U+0645><U+0644> <U+0627><U+0631><U+062C><U+0627><U+0621><U+0647> <U+0643><U+0645><U+0627> <U+064A><U+0648><U+062C><U+062F> <U+0639><U+062F><U+062F> <U+0645><U+0646> <U+0627><U+0644><U+0645><U+0642><U+0627><U+0647><U+064A> <U+0648><U+0627><U+0644><U+0645><U+0637><U+0627><U+0639><U+0645> <U+0641><U+064A> <U+0627><U+0644><U+0645><U+0646><U+0637><U+0642><U+0629> <U+0627><U+0644><U+0645><U+062D><U+064A><U+0637><U+0629> <U+0628><U+0647> A museum that includes a large number of…","February 2020","ALasere","May 2020",3
"amazing collection","when you walk in, you notice the light change and this massive column holding up a really cool glass ceiling. feels like a spaceship in some ways, even though the outside is serious and robust. a treat!","January 2020","sanj","May 2020",5
"Worth the trip and free","Easy to spend the day taking in history from all around the world.  Beautiful building and a must for any trip to London.","August 2019","clare b","May 2020",4
"All you ever wanted to know about English History","The museum is an expanse of British history with multiple floors covering many acres of ground.  Entry is free though a donation of 5 pounds is requested and expected.  Roman occupation of England features prominently.  One could spend days here studying this incredible…","October 2019","Pedipod San Diego","May 2020",5
"Free access to unparalleled collection","This museum is described as the oldest museum in the world, with an “unrivalled collection of antiquities”. Hard to argue with that! It is indeed a massive museum, with dozens of galleries dedicated to various countries, regions, and eras. Too much to take in during one visit,…","June 2019","Don Wright","May 2020",5
